Section,Mass,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Compression_Class_S355,Compression_Class_S460
UB 914 x 305 x 345,345,943,308,22.1,39.9,20,862.8,822.8,43970,3.039,6261900000,13280000,15360,377,21890,195100000,1267000,2003000,66000,125,16560000,3.96E+13,1,1,4,4
UB 914 x 305 x 313,313,932,309,21.1,34.5,20,862.8,822.8,39840,3.023,5488400000,11770000,13640,371,20660,170400000,1102000,1748000,65000,113,11670000,3.42E+13,1,1,4,4
UB 914 x 305 x 289,289,926.6,307.7,19.5,32,20,862.8,822.8,36830,3.011,5047300000,10890000,12580,370,19060,155900000,1013000,1601000,65000,106,9315000,3.11E+13,1,1,4,4
UB 914 x 305 x 271,271,923,307,18.4,30,20,862.8,822.8,34610,3.003,4721700000,10230000,11790,369,17970,145100000,945800,1491000,64000,101,7743000,2.88E+13,1,1,4,4
UB 914 x 305 x 253,253,918.4,305.5,17.3,27.9,20,862.8,822.8,32280,2.99,4368400000,9513000,10950,367,16860,133000000,870800,1371000,64000,96,6299000,2.63E+13,1,1,4,4
UB 914 x 305 x 238,238,915,305,16.5,25.9,20,862.8,822.8,30350,2.983,4070100000,8896000,10240,365,16040,122800000,805600,1267000,63000,91,5183000,2.42E+13,1,1,4,4
UB 914 x 305 x 224,224,910.4,304.1,15.9,23.9,20,862.8,822.8,28560,2.971,3769500000,8281000,9547,363,15390,112300000,739000,1163000,62000,87,4255000,2.20E+13,1,2,4,4
UB 914 x 305 x 201,201,903,303.3,15.1,20.2,20,862.8,822.8,25590,2.955,3257900000,7215000,8364,356,14480,94230000,621300,982400,60000,78,2939000,1.83E+13,1,-,4,-
UB 840 x 400 x 576,576,913,411,32,57.9,20,797.1,757.1,73447.56,3.372,10117700000,22160000,25560,371,30020,672200000,3271000,5101000,95000,171,61670000,1.22E+14,1,1,1,2
UB 840 x 400 x 527,527,903,409,29.5,53.1,20,797.1,757.1,67284.76,3.349,9150800000,20260000,23270,368,27530,607300000,2969000,4621000,95000,159,47770000,1.09E+14,1,1,1,2
UB 840 x 400 x 473,473,893,406,26.4,48,20,797.1,757.1,60360.16,3.323,8132000000,18210000,20790,367,24570,536700000,2643000,4100000,94000,145,35110000,9.56E+13,1,1,2,3
UB 840 x 400 x 433,433,885,404,24.4,43.9,20,797.1,757.1,55266.24,3.303,7362700000,16630000,18920,364,22620,483500000,2393000,3706000,93000,135,27040000,8.53E+13,1,1,3,4
UB 840 x 400 x 392,392,877,401,22.1,39.9,20,797.1,757.1,49961.28,3.279,6596500000,15040000,17040,363,20430,429600000,2142000,3310000,92000,125,20260000,7.51E+13,1,1,4,4
UB 840 x 400 x 359,359,868,403,21.1,35.6,20,797.1,757.1,45849.44,3.271,5916200000,13630000,15420,359,19330,389000000,1930000,2984000,92000,115,15100000,6.73E+13,1,1,4,4
UB 840 x 400 x 329,329,862,401,19.7,32.4,20,797.1,757.1,42033,3.254,5358200000,12430000,14040,357,17980,348700000,1739000,2687000,91000,107,11590000,5.99E+13,1,1,4,4
UB 840 x 400 x 299,299,856,400,18.2,29.2,20,797.1,757.1,38219.68,3.241,4816800000,11250000,12680,355,16550,311900000,1559000,2406000,90000,100,8662000,5.32E+13,1,1,4,4
UB 838 x 292 x 251,251,859,292,17,31,20,797.3,757.3,32000,2.818,3874900000,9021000,10320,348,15650,129000000,883700,1383000,63000,102,7455000,2.20E+13,1,1,4,4
UB 838 x 292 x 226,226,850.9,293.8,16.1,26.8,20,797.3,757.3,28860,2.81,3408000000,8010000,9182,343,14680,113600000,773300,1212000,62000,93,5223000,1.92E+13,1,1,4,4
UB 838 x 292 x 210,210,846,293,15.4,24.4,20,797.3,757.1,26900,2.799,3117100000,7369000,8455,340,13970,102500000,700200,1098000,61000,87,4127000,1.73E+13,1,1,4,4
UB 838 x 292 x 194,194,840.7,292.4,14.7,21.7,20,797.3,757.3,24680,2.787,2802700000,6667000,7668,336,13250,90670000,620200,974700,60000,81,3122000,1.52E+13,1,2,4,4
UB 838 x 292 x 176,176,834.9,291.7,14,18.8,20,797.3,757.3,22400,2.774,2471100000,5919000,6835,331,12520,78000000,534800,842800,58000,75,2267000,1.29E+13,1,2,4,4
UB 762 x 267 x 220,220,779,266,16.5,30,20,719,679,28070,2.555,2793900000,7173000,8231,314,13900,94430000,710000,1114000,57000,99,6205000,1.32E+13,1,1,4,4
UB 762 x 267 x 197,197,769.8,268,15.6,25.4,20,719,679,25060,2.546,2413200000,6269000,7205,309,12970,81770000,610200,960100,56000,89,4165000,1.13E+13,1,1,4,4
UB 762 x 267 x 185,185,766,267,14.9,23.6,20,719,679.1,23700,2.536,2241400000,5852000,6724,307,12340,75110000,562600,885100,56000,85,3433000,1.03E+13,1,1,4,4
UB 762 x 267 x 173,173,762.2,266.7,14.3,21.6,20,719,679,22040,2.528,2066500000,5422000,6236,305,11790,68510000,513800,808900,55000,80,2768000,9.36E+12,1,1,4,4
UB 762 x 267 x 161,161,758,266,13.8,19.3,20,719,679.1,20500,2.518,1872500000,4940000,5699,301,11300,60740000,456700,720900,54000,75,2151000,8.26E+12,1,1,4,4
UB 762 x 267 x 147,147,754,265.2,12.8,17.5,20,719,679,18720,2.509,1698700000,4505000,5194,300,10470,54570000,411500,648500,53000,71,1661000,7.38E+12,1,2,4,4
UB 762 x 267 x 134,134,750,264.4,12,15.5,20,719,679,17060,2.499,1520600000,4054000,4682,297,9777,47890000,362200,571200,52000,66,1250000,6.44E+12,1,2,4,4
UB 760 x 380 x 582,582,843,396,34.5,62,20,719.1,679.1,74252.86,3.167,8615500000,20440000,23750,340,29760,644300000,3254000,5082000,93000,181,72190000,9.79E+13,1,1,1,1
UB 760 x 380 x 531,531,833,393,31.5,56.9,20,719.1,679.1,67721.56,3.141,7766400000,18640000,21550,338,27060,577600000,2939000,4579000,92000,168,55630000,8.67E+13,1,1,1,1
